DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
FRAZERS,Copper,Low Significance,MUSGRAVE PROVINCE,Birksgate Complex,Giles Complex,132.5498074,-26.1855002
TRUDINGER PASS,Copper,Low Significance,MUSGRAVE PROVINCE,Giles Complex unit 2,Giles Complex,131.9688105,-26.2243002
PREMIER,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wilyerpa Formation,140.5621611,-32.2791625
OLD TORAMINGA DAM,"Iron, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hematite,Ethiudna Subgroup,140.2500962,-31.9400715
INDULKANA FAULT,Copper,Low Significance,MOORILYANNA GRABEN,Birksgate Complex,Birksgate Complex,133.1352933,-26.7900223
WAUKALOO,"Copper, Gold, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group,140.3971672,-31.8246545
MOORILYANNA A,Copper,Low Significance,MUSGRAVE PROVINCE,Mesoproterozoic unit 21,Birksgate Complex,132.9556933,-26.8786992
MOORILYANNA C,Copper,Low Significance,MUSGRAVE PROVINCE,Mesoproterozoic unit 21,Birksgate Complex,132.9841283,-26.8699922
MOORILYANNA D,Copper,Low Significance,MUSGRAVE PROVINCE,Mesoproterozoic unit 21,Mesoproterozoic unit 21,133.0141593,-26.8734413
RONALDS WELL,Copper,Low Significance,MUSGRAVE PROVINCE,Mesoproterozoic unit 21,Giles Complex,132.5672964,-26.9883202
BILLEROO HILL,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup unit 19,139.9100662,-31.8948905
BILLEROO,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup unit 19,139.9358642,-31.9233935
NINNERIE,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Mesoproterozoic unit 10,Mesoproterozoic unit 10,139.8436882,-31.9862765
SUNNY BRAE,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Burrawing Amphibolite,Lower Middleback Jaspilite,136.1414977,-34.1911414
ETHIUDNA PIPERS,"Copper, Cobalt, Nickel, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Ethiudna Subgroup,139.8380442,-32.0536205
LOOKOUT HILL,"Copper, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Subgroup,139.8378332,-32.0662535
ETHIUDNA CENTRAL,"Copper, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Bimba Formation,139.8387692,-32.0507315
MORIALPA,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup unit 8,139.8794152,-32.2850975
MORIALPA WEST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Willyama Supergroup,139.8655612,-32.2804635
MONTSTEPHEN WELL,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup,139.9121522,-32.1756915
MITCHELLS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wilyerpa Formation,139.9333582,-32.1762325
LUIGIS,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,Willyama Supergroup unit 14,140.2987902,-32.1172605
WOMAN IN WHITE,"Gold, Corundum, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Abminga Subsuite,140.2885782,-32.1191345
LADY LOUISE,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,Wiperaminga Subgroup,140.2870802,-32.1099785
CATHEDRAL ROCK,"Copper, Uranium, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group,140.3447892,-32.0883685
AMEROO,"Copper, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,140.1960962,-32.1269345
REEVESBY ISLAND,Copper,Low Significance,GAWLER CRATON,amphibolite,Donington Suite,136.2841426,-34.5222084
ANTRO WEST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Benda Siltstone,Mesoproterozoic unit 1,140.0737842,-32.0614175
PORT LINCOLN,Copper,Low Significance,GAWLER CRATON,Palaeoproterozoic unit 10,Hutchison Group,136.0281967,-34.3314704
LIPSONS COVE,Copper,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),quartz vein,Donington Suite,136.2596967,-34.2653734
NEW MOUNT LIVERPOOL,Copper,Low Significance,GAWLER CRATON,pegmatite,Donington Suite,135.9681447,-34.3864294
OLD MOUNT LIVERPOOL,Copper,Low Significance,GAWLER CRATON,quartz vein unit 4,Donington Suite,135.9794827,-34.3793044
PEGLINE DAM WEST,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Benda Siltstone,140.6500561,-32.4901415
STONE TANK,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup unit 1,140.9309871,-32.3024256
RECORD DAM,"Sulphur, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Broken Hill Group,140.8577171,-32.4093416
TALTABOOKA,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Mintaro Shale,140.2850101,-32.5094195
GREEN AND GOLD,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Ethiudna Calc-silicate Group,Ethiudna Calc-silicate Group,140.4748501,-32.1989645
PIMPONDA,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein unit 3,Mesoproterozoic unit 1,140.2627492,-32.0870065
MENINGIE WELL SOUTH,"Copper, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup unit 16,140.3896412,-32.0842615
MOOLEUGORE,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,Bimba Formation,140.4098082,-32.0013955
ANTRO WELL,"Copper, Beryllium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),skarn,Willyama Supergroup,140.0744952,-32.0297125
WEEKEROO,"Copper, Rare Earths",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Bimba Formation,140.0447262,-32.2332135
MILDALTIE SHOOTS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Yudnamutana Subgroup,140.5617211,-32.3293635
