LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
139.8257902,-32.3344035,pit,STARLIGHT DAM,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tarcowie Siltstone
139.6808862,-32.3355575,PIT,WOPPA BORE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
139.9029492,-32.3720825,shaft,NECTAR,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Enorama Shale
139.8321512,-32.3685605,shaft,ELSIE MAY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.8722332,-32.3867715,no.2 underlay,HOMEWARD BOUND,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Enorama Shale
139.8287922,-32.3884055,diggings?,ODD TRICK,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.8413372,-32.4066215,workings,ELLA JONES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
140.5621611,-32.2791625,workings,PREMIER,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wilyerpa Formation
139.6562873,-32.2507175,white spoils?,TEETULPA WEST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation
139.6381683,-32.2485385,qz vein,TEETULPA FAR WEST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation
139.8578912,-32.3611805,shaft on track,BIRTHDAY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Enorama Shale
139.8502832,-32.3587635,costean,AURORA  AUSTRALIS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.9107002,-32.3772465,shaft,NO GAMMON,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
140.3971672,-31.8246545,SHAFT,WAUKALOO,"Copper, Gold, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group
139.9100662,-31.8948905,PIT,BILLEROO HILL,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup unit 19
140.2872802,-31.7856685,SHAFT,NANCATEE WELL,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup unit 19
139.7073362,-32.1688025,N slopes of low hill,MAYNARDS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
139.5648313,-32.0314635,workings,MONTE CHRISTO,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Wilyerpa Formation
139.7108693,-31.8259575,,SPRING HILL,"Uranium, Gold, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup unit 1
140.3202712,-32.2293235,shaft,OLARY,"Gold, Silver, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup unit 9
