DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
FISHERY,Graphite,Low Significance,GAWLER CRATON,Hutchison Group,Hutchison Group,135.6659007,-34.9127314
GLENROWAN,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8652377,-34.4809864
W.R. WILLIAMS,"Kaolin, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Tertiary-Pleistocene regolith/colluvial sediments,Hutchison Group,136.0530047,-34.3150024
KOPPIO HOMESTEAD,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8647537,-34.4340964
KADLUNGA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Middleback Subgroup,Hutchison Group,135.8807707,-34.4668974
CHANNEL,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8618867,-34.4517014
WIRRANDA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8024087,-34.4407514
KASEY,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.6699537,-34.8709654
C. THEAKSTONE,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7091697,-34.8524314
MERCHANTS,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7021467,-34.5769004
OLARY,"Gold, Silver, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup unit 9,140.3202712,-32.2293235
AMEROO,"Copper, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,140.1960962,-32.1269345
MEGAWS,"Copper, Silver, Gold, Graphite, Lead, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein unit 4,Willyama Supergroup unit 14,140.3082442,-32.2408145
MOUNT SHANNAN,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Yadnarie Schist,Yadnarie Schist,136.4861536,-33.6372584
SUGARLOAF,"Graphite, Cobalt, Copper",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Middleback Subgroup,Middleback Subgroup,136.3287037,-33.4868444
STANLEYS,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Warrow Quartzite,136.4212817,-33.4380294
CAMPOONA,"Lead, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Upper Middleback Jaspilite,Upper Middleback Jaspilite,136.3426607,-33.5259974
ARGENT,"Graphite, Silver",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Warrow Quartzite,Warrow Quartzite,136.4220537,-33.4676364
GOONGOONA,"Lead, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Cook Gap Schist,Hutchison Group,136.2773427,-33.1471574
BILLS SC2A,"Zinc, Graphite, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Upper Middleback Jaspilite,136.3752817,-33.4991144
PEARLAH,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.6788987,-34.5736954
ALCONIE,"Chiastolite, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 27,Willyama Supergroup unit 27,140.0927062,-31.9711755
TATTALENGHI,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8263577,-34.3812304
OLEO CREEK,"Magnesite, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.8171557,-34.3520444
YALTU VALE,"Magnesite, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Katunga Dolomite,Lower Middleback Jaspilite,136.0013007,-34.3389984
BRUCE,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.0875737,-34.2764904
FOLLETT AND BOYD,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Middleback Subgroup,Middleback Subgroup,135.9388187,-34.3806154
HOMESTEAD,Graphite,Low Significance,GAWLER CRATON,Hutchison Group,Hutchison Group,135.6717497,-34.8245094
MORNINGTON,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Warrow Quartzite,Warrow Quartzite,135.7324707,-34.4914764
KINMONT,Graphite,Low Significance,GAWLER CRATON,Hutchison Group,Hutchison Group,135.6828957,-34.8482604
SLEAFORD MERE,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7329677,-34.8222614
LINCOLN PLUMBAGO,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7410797,-34.7863304
COOMUNGA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7511177,-34.6772394
MINDAMEREEKA,Graphite,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 16,Willyama Supergroup unit 16,139.9079182,-32.0235615
PLUMBAGO,Graphite,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,Willyama Supergroup unit 1,139.8221802,-32.0706955
ETHIUDNA,"Graphite, Copper",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 1,Willyama Supergroup,139.8622112,-32.0548235
BLACK MARIA,"Copper, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein unit 4,Willyama Supergroup unit 14,140.2949472,-32.1083175
ALCONIE HILL,"Feldspar, Beryl, Chiastolite, Graphite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup,140.0894972,-31.9723105
TRESTRAILS,Graphite,Low Significance,ADELAIDE GEOSYNCLINE,Stonyfell Quartzite,Stonyfell Quartzite,138.9427812,-34.6657155
BEAMES FARM,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Cook Gap Schist,Cook Gap Schist,136.4312626,-33.8243224
PRENDERGASTS,Graphite,Low Significance,PEAKE AND DENISON INLIERS,Peake Metamorphics unit 1,Peake Metamorphics unit 1,135.783126,-27.9056663
BENBUY,"Uranium, Graphite",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Katunga Dolomite,Katunga Dolomite,136.6321436,-33.7170404
CARPA,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.6879046,-33.7706674
WILKLOW,Graphite,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.7841196,-33.5673174
PANEY SE,"Zinc, Silver, Graphite, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.6698868,-32.6840384
