DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
KALKAROO EAST,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Eyre Formation,140.6985991,-31.7389335
JASONS,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Eyre Formation,140.6435332,-31.6176235
OBAN,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Eyre Formation,140.7901892,-31.1932535
BILLEROO,"Uranium, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup unit 2,139.9078122,-31.9342515
BLACKBOY,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Mesoproterozoic unit 1,139.8397932,-32.0116955
SPRING HILL,"Uranium, Gold, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup unit 1,139.7108693,-31.8259575
CROCKER,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Mesoproterozoic unit 1,139.7855042,-32.0081045
MOUNT VICTORIA,"Uranium, Rare Earths, Uranium Oxide",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,139.8446852,-31.9363085
CROCKER CENTRAL,"Uranium, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Mesoproterozoic unit 1,139.8225942,-32.0135965
TEWINGA,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Donington Suite,Donington Suite,135.9119457,-34.4901154
TALLALA,Uranium,Low Significance,GAWLER CRATON,Donington Suite,Donington Suite,135.9048397,-34.5191064
BECAROO,"Uranium, Rare Earths",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Mesoproterozoic unit 31,Mesoproterozoic unit 31,139.9038402,-31.9480195
MINDAMEREEKA TRIG,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup,139.8979772,-32.0421635
LADY LOUISE,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,Wiperaminga Subgroup,140.2870802,-32.1099785
CATHEDRAL ROCK,"Copper, Uranium, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group,140.3447892,-32.0883685
BORTOLI,"Feldspar, Beryl, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Mesoproterozoic unit 1,140.1846722,-32.1002485
AMEROO HILL,"Feldspar, Beryl, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup,140.2005872,-32.1346315
BAXTER SOUTH,"Andalusite, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 14,,140.1844332,-32.1152225
HOSPITAL,"Uranium, Uranium Oxide",Low Significance,GAWLER CRATON,Colbert Granite,Colbert Granite,135.8483227,-34.7241314
AINSLEE SOUTH,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Colbert Granite,Colbert Granite,135.8395077,-34.6840644
LINCOLN FRASERS,Uranium,Low Significance,GAWLER CRATON,Wanna Megacrystic Granite Gneiss,Wanna Megacrystic Granite Gneiss,135.8404327,-34.7444674
TAYLOR SHAFT,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup,140.6668141,-32.3204115
YARRANNA CENTRAL,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Tertiary-Pleistocene lacustrine sediments,134.360173,-32.0554283
CROCKER EASTERN,"Uranium, Uranium Oxide",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Crocker Well Suite,139.8334612,-32.0115675
GOULDS DAM,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Eyre Formation,Eyre Formation,139.9493353,-31.4707135
HONEYMOON,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Eyre Formation,Eyre Formation,140.6619331,-31.7420275
TALBOT CREEK,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Mesoproterozoic unit 1,Mesoproterozoic unit 1,139.8432852,-31.9210525
WINDAMERTA,"Copper, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Mesoproterozoic unit 1,139.8217632,-31.9250175
BRISTOWES,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,140.6504051,-32.3383915
CROCKER SOUTH,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Mesoproterozoic unit 1,139.8054462,-32.0296015
CROCKER JUNCTION,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup,139.8037772,-32.0181335
BANTU,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Donington Suite,Donington Suite,135.8839387,-34.5194484
LOMAX,"Uranium, Uranium Oxide",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Wanna Megacrystic Granite Gneiss,Wanna Megacrystic Granite Gneiss,135.8449207,-34.7225314
DAVEY WOLLASTON,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Wanna Megacrystic Granite Gneiss,Wanna Megacrystic Granite Gneiss,135.8244807,-34.7318694
SOUTH HILL,Uranium,Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup unit 1,140.6413201,-32.3518975
WINDAMERTA EAST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,139.8077672,-31.9353825
WINDAMERTA WEST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,139.7976573,-31.9403425
JAGGED ROCKS,"Uranium, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 1,Willyama Supergroup,139.7545913,-31.8904425
CROCKER ORIGINAL,"Uranium, Thorium, Uranium Oxide",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Crocker Well Suite,Crocker Well Suite,139.8019562,-32.0129525
FLACHUBER,"Feldspar, Beryllium, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup,140.1450252,-32.0671505
ETHIUDNA MAIN SHAFT,"Copper, Cobalt, Uranium, Wollastonite",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,139.8376292,-32.0497895
EALBARA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Pidinga Formation,134.5271241,-30.4072353
WARRIOR,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Pidinga Formation,134.0286771,-30.6063473
COONDAPPIE,Uranium,Low Significance,FROME EMBAYMENT (EROMANGA BASIN),Eyre Formation,,139.7447073,-31.6057415
DOMENIC,"Feldspar, Beryl, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Mesoproterozoic unit 1,140.1791592,-32.1004845
TOMMY WATTIE WEST,Uranium,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup unit 14,140.1390912,-32.1124865
YANINEE,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Tertiary-Pleistocene lacustrine sediments,135.1920999,-33.0714873
HARROGATE,"Lead, Uranium",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Brukunga Formation,139.0094022,-34.9405425
NORTONS,Uranium,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),pegmatite,Rathjen Gneiss,139.1567512,-34.7727415
MINBRIE WEST,"Talc, Asbestos, Marble, Opal, Uranium",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Katunga Dolomite,136.8512086,-33.6086604
BEVERLEY,"Uranium, Uranium Oxide",Significant to SA,TERTIARY PALAEOCHANNELS,Namba Formation,Namba Formation,139.5917354,-30.1913655
GUNSIGHT,"Copper, Cobalt, Rare Earths, Uranium",Locally Significant,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),sheared rocks unit 1,sheared rocks unit 1,139.6474724,-30.0038185
SOUTH RIDGE,"Tin, Silver, Copper, Lead, Uranium, Zinc",Significant to SA,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Petermorra Volcanics,139.5312594,-29.7917895
YERILA,"Cobalt, Rare Earths, Thorium, Uranium",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),hydrothermal alteration,Yerila Granite,139.5381154,-29.8822795
SHAMROCK,"Copper, Uranium, Uranium Oxide",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Wooltana Volcanics,139.3674784,-30.1501885
COMMONWEALTH,"Copper, Silver, Uranium",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wywyana Formation,139.3575904,-30.1849095
PARALANA HOT SPRINGS,"Uranium, Copper",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Nooldoonooldoona Trondhjemite,Nooldoonooldoona Trondhjemite,139.4415624,-30.1751585
BRITISH EMPIRE,"Copper, Uranium",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Corundum Creek Schist Member,139.4045594,-30.1727105
HODGKINSON,"Uranium, Copper, Uranium Oxide",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),quartz vein unit 4,sheared rocks,139.4228374,-30.1856535
ARMCHAIR,"Uranium, Copper, Rare Earths, Uranium Oxide",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),hydrothermal alteration,Radium Ridge Breccias,139.3628224,-30.2039295
SMILER GREENWOOD,Uranium,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),hydrothermal alteration,Radium Ridge Breccias,139.3654024,-30.2109355
BENTLEY GREENWOOD,"Uranium, Uranium Oxide",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),hydrothermal alteration,Corundum Creek Schist Member,139.3789004,-30.2176895
PLUMBUSH,"Uranium, Uranium Oxide",Significant to SA,PIRIE BASIN,Kanaka beds,Kanaka beds,137.3719915,-33.2417684
MOUNT SHANAHAN,Uranium,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Freeling Heights Quartzite,139.3829004,-30.0744595
