DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
CATHEDRAL ROCK,"Copper, Uranium, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Ethiudna Calc-silicate Group,140.3447892,-32.0883685,near hole CR 1
DEY HILL,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,140.7089791,-32.3640705,near hole PTBA 26
BIRTHDAY,"Lead, Cobalt, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup,140.9577831,-32.1903756,near hole DD PC 1
MENINGIE WELL SOUTH,"Copper, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup unit 16,140.3896412,-32.0842615,
ANABAMA,"Copper, Silver, Gold, Cobalt, Molybdenum, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,Benda Siltstone,Yudnamutana Subgroup,140.2872821,-32.7869965,near hole RC95AB 7
MEGAWS,"Copper, Silver, Gold, Graphite, Lead, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein unit 4,Willyama Supergroup unit 14,140.3082442,-32.2408145,workings
DEWRANG,"Lead, Copper, Zinc",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Tunkalilla Formation,Kanmantoo Group,137.1847324,-35.6985424,near DDH3
MENNINNIE DAM,"Zinc, Silver, Lead",Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),skarn,Sleaford Complex,136.4156777,-32.6483764,
RED RANGE NORTH,"Zinc, Silver, Copper, Lead",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Ajax Limestone,138.3454445,-30.8879074,trench
BILLS SC2A,"Zinc, Graphite, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Upper Middleback Jaspilite,136.3752817,-33.4991144,near hole SC2A
AMEROO HILL SOUTH,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),deep weathering,Willyama Supergroup unit 14,140.1941422,-32.1323325,PIT
WATERFALL,"Zinc, Asbestos, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Warrow Quartzite,Katunga Dolomite,136.0267307,-34.3257744,near hole 77PH4
DALBY ISLAND,"Copper, Zinc",Low Significance,GAWLER CRATON,Donington Suite,Donington Suite,136.2360646,-34.5642744,S tip of island
QUARTZ HILL,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Palaeoproterozoic unit 2,140.8483501,-32.2870926,near PTMD 18
KENELLA ROCKS,"Zinc, Silver, Lead",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Tertiary-Pleistocene regolith/colluvial sediments,Christie Gneiss,134.960549,-30.9229043,near hole KENELLA 7A
