Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
INDULKANA FAULT,Copper,Low Significance,MOORILYANNA GRABEN,Structural-fault/shear/fracture,TECTONITE,Birksgate Complex,GNEISS,Birksgate Complex,133.135293,-26.790022
WAUKALOO,"Copper, Gold, Molybdenum",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,ALBITE-ALTERED ROCK (SEDIMENT PRECURSOR),hydrothermal alteration,CALCSILICATE ROCK,Ethiudna Calc-silicate Group,140.397167,-31.824655
MOORILYANNA A,Copper,Low Significance,MUSGRAVE PROVINCE,Structural-fault/shear/fracture,DOLERITE,Mesoproterozoic unit 21,GNEISS,Birksgate Complex,132.955693,-26.878699
MOORILYANNA C,Copper,Low Significance,MUSGRAVE PROVINCE,Structural-fault/shear/fracture,DOLERITE,Mesoproterozoic unit 21,GNEISS,Birksgate Complex,132.984128,-26.869992
MOORILYANNA D,Copper,Low Significance,MUSGRAVE PROVINCE,Structural-fault/shear/fracture,DOLERITE,Mesoproterozoic unit 21,GNEISS,Mesoproterozoic unit 21,133.014159,-26.873441
RONALDS WELL,Copper,Low Significance,MUSGRAVE PROVINCE,Structural-joint,DOLERITE,Mesoproterozoic unit 21,ULTRAMAFIC INTRUSIVE,Giles Complex,132.567296,-26.98832
STARLIGHT DAM,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Tarcowie Siltstone,139.82579,-32.334404
WOPPA BORE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Tapley Hill Formation,139.680886,-32.335558
NECTAR,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Enorama Shale,139.902949,-32.372082
ELSIE MAY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Enorama Shale,139.832151,-32.368561
BILLEROO HILL,"Copper, Gold",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,METASEDIMENT,Willyama Supergroup unit 19,139.910066,-31.89489
KALKAROO EAST,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Geochemical-contacts,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SAND,Eyre Formation,140.698599,-31.738934
JASONS,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Geochemical-contacts,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SAND,Eyre Formation,140.643533,-31.617624
OBAN,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,Geochemical-contacts,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SAND,Eyre Formation,140.790189,-31.193254
BILLEROO,"Uranium, Uranium Oxide",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,PEGMATITE (NO COMPOSITION),pegmatite,GRANITOID ROCK,Willyama Supergroup unit 2,139.907812,-31.934251
NANCATEE WELL,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Willyama Supergroup unit 19,140.28728,-31.785668
