track_name,track_gauge,track_ownership,land_ownership,railcode,shape_Length,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEIGH CREEK COALFIELD LINE,STANDARD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,RWN09,0.014137497,"MULTILINESTRING ((138.41400303300009 -31.34546912099995, 138.41368297000008 -31.342123586999946, 138.41322459600008 -31.337550761999978, 138.41285451500005 -31.33295161199993, 138.41269890800004 -31.33139242599998))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEIGH CREEK COALFIELD LINE,STANDARD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,RWN09,8.57E-05,"MULTILINESTRING ((138.41449212400005 -31.35071686999993, 138.4144842380001 -31.35063158099996))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEIGH CREEK COALFIELD LINE,STANDARD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,RWN09,0.009412993,"MULTILINESTRING ((138.4145741000001 -31.360072206999973, 138.41469254800006 -31.35953742299995, 138.41481802200008 -31.358888943999943, 138.41492862500002 -31.35822435999995, 138.41496877300006 -31.35764891599996, 138.41499566400012 -31.35701639599995, 138.41496264900002 -31.355969094999978, 138.41455393700005 -31.35138534899994, 138.41449212400005 -31.35071686999993))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTER HARBOR LINE,BROAD,KEOLIS DOWNER PTY LTD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,,0.000107542,"MULTILINESTRING ((138.57326584800012 -34.90428470699993, 138.5733097330001 -34.90431767399997, 138.5733515700001 -34.90434964399998))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONAMIA - PORT AUGUSTA,STANDARD,AUSTRALIAN RAIL TRACK CORPORATION,AUSTRALIAN RAIL TRACK CORPORATION LTD.,RWN08,0.005719871,"MULTILINESTRING ((138.04027369900007 -33.193645533999984, 138.03993577200004 -33.19355454099997, 138.03949249700008 -33.19340481199998, 138.03907953200007 -33.19321168299996, 138.03873480200002 -33.19296889399993, 138.03841400700003 -33.192682745999946, 138.03814376000003 -33.19239015499994, 138.03794848100006 -33.192058352999936, 138.03780904500002 -33.19168780599995, 138.03771588000006 -33.191369573999964, 138.0376860030001 -33.191044586999965, 138.03769517500007 -33.19075063899993, 138.03773607900007 -33.19045604599995, 138.03786505100004 -33.19013255899995, 138.037994958 -33.18984111299994, 138.0381280350001 -33.18964042699997, 138.03827033800007 -33.18942544999993))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONAMIA - PORT PIRIE,STANDARD,AUSTRALIAN RAIL TRACK CORPORATION,AUSTRALIAN RAIL TRACK CORPORATION LTD.,,0.005552584,"MULTILINESTRING ((138.03398803800007 -33.19251016099997, 138.0346654210001 -33.19254388099995, 138.03511924000009 -33.19243695799997, 138.0355392340001 -33.19227217799994, 138.03581276900002 -33.192094879999956, 138.03618269700007 -33.19176033499997, 138.03686229800007 -33.191002056999935, 138.03797699400002 -33.18976880099996, 138.03827033800007 -33.18942544999993))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONAMIA - PORT AUGUSTA,STANDARD,AUSTRALIAN RAIL TRACK CORPORATION,AUSTRALIAN RAIL TRACK CORPORATION LTD.,RWN08,0.762509242,"MULTILINESTRING ((138.03827033800007 -33.18942544999993, 138.03945414700001 -33.18814949299997, 138.0526518370001 -33.17332306399993, 138.05570901500005 -33.16993866699994, 138.05756752600007 -33.167881068999975, 138.0591320640001 -33.16614884599994, 138.05987816200002 -33.16529331499993, 138.06047786300007 -33.16451113699998, 138.06097926200005 -33.163756716999956, 138.06141296300007 -33.16300322799998, 138.06157238900005 -33.16268211899995, 138.0617238760001 -33.16237700299996, 138.06177666500002 -33.16227067799997, 138.06210056300006 -33.161498146999975, 138.06234216400003 -33.160824737999974, 138.06430556500004 -33.15505135799998, 138.0645250670001 -33.15428491899996, 138.06467336700007 -33.15354909799993, 138.06476426900008 -33.15274107799996, 138.06478216800008 -33.15195167, 138.0647771360001 -33.15186299699997, 138.06474316900005 -33.15126444999993, 138.06462297000007 -33.15041612899995, 138.05395724400012 -33.09285722599998, 138.0536773350001 -33.09134564799996, 138.05352483600007 -33.09069271799996, 138.0533268380001 -33.08998621699993, 138.0530968390001 -33.08929103899993, 138.05286403800005 -33.08867611699998, 138.05284918600012 -33.08864131299998, 138.0525925400001 -33.088039917999936, 138.05227614000012 -33.08737734699997, 138.05195864000007 -33.086778866999964, 138.051600043 -33.086163246999945, 138.05137625700002 -33.08579745299994, 138.00442580200001 -33.00897830599996, 138.000647565 -33.00278993799998, 137.99646389200007 -32.99593637799995, 137.9964101490001 -32.99583507999995, 137.9962683000001 -32.99556771299996, 137.99615989300003 -32.99536337699993, 137.99591869300002 -32.99486585799997, 137.995352195 -32.993548836999935, 137.99253668500012 -32.98680802999996, 137.98376845300004 -32.96580848699995, 137.98341163600003 -32.964916278999965, 137.98320673600006 -32.96428318799997, 137.9830328370001 -32.96358106799994, 137.98291413800007 -32.96285477699996, 137.98285564000003 -32.96216972899998, 137.9828392400001 -32.961317357999974, 137.9826958220001 -32.921557108999934, 137.98237935200007 -32.83369455099995, 137.98235085400006 -32.832677040999954, 137.9822935530001 -32.83213169199996, 137.98225649300002 -32.83189992599995, 137.98221505300012 -32.8316407799999, 137.98211635300004 -32.83118016099996, 137.98199375500008 -32.830722478999974, 137.98183275600002 -32.830226970999945, 137.98165895600005 -32.82977310999996, 137.9814608580001 -32.82932390999997, 137.9812471580001 -32.828896759999964, 137.9809916580001 -32.82844359999996, 137.98072436000007 -32.82802129999993, 137.96381430100007 -32.80381740699994, 137.96332320300007 -32.80308465699994, 137.96294020300002 -32.80242270699995, 137.9626050050001 -32.80172649599996, 137.9623085060001 -32.80096880699995, 137.95543343200006 -32.78148607099996, 137.95524233300011 -32.78078518199993, 137.95510843500006 -32.78008828999998, 137.95502953400012 -32.77937161099993, 137.95500593500003 -32.77860624199997, 137.95502273500006 -32.77814024099996, 137.95506903500007 -32.77759630099996, 137.95577123900011 -32.77177807099997, 137.9558612400001 -32.77085299199996, 137.95586934200003 -32.77011800099996, 137.955822441 -32.76940553199995, 137.9557198430001 -32.768699691999984, 137.95555554300006 -32.76797240099995, 137.95530604500004 -32.76718033199995, 137.9549733460001 -32.76637575899997, 137.94799086700004 -32.75175467599996, 137.9477279680001 -32.75118059599998, 137.94752536800002 -32.75067930599994, 137.9473609700001 -32.75019645499998, 137.94720627000004 -32.749637854999946, 137.947094471 -32.74911311499994, 137.947009771 -32.74855529599995, 137.94696327000008 -32.74806425399993, 137.94694377100006 -32.74759233499998, 137.94698347400004 -32.74570154399993, 137.9469614740001 -32.74496564399993, 137.94691787400006 -32.74451238599994, 137.9468458760001 -32.74402987499997, 137.946745275 -32.74353787399997, 137.94663287700007 -32.74310126499995, 137.94638837800005 -32.74234842499993, 137.9460712780001 -32.741597224999964, 137.94391248600004 -32.737348631999964, 137.943555585 -32.736588971999936, 137.94334138600004 -32.73603977199997, 137.9431439870001 -32.73541289199994, 137.9430013870001 -32.73483257199996, 137.94289788900005 -32.73425064199995, 137.94283458900009 -32.73369638099996, 137.94280498900002 -32.73316908199996, 137.9428063900001 -32.73261898099997, 137.94283639100001 -32.732120420999934, 137.942883391 -32.731698120999965, 137.94294333900007 -32.73132166499994, 137.94295999100007 -32.73121709199995, 137.94306872900006 -32.73067032199998, 137.9435563940001 -32.72821811199998, 137.94364089300007 -32.72768199199993, 137.94368659500003 -32.727196351999964, 137.94370739400006 -32.72664905199997, 137.9436989950001 -32.726154571999984, 137.94366109400005 -32.72562887199996, 137.94354491 -32.72483489499996, 137.94353819600008 -32.724789011999974, 137.94353035400002 -32.724755872999935, 137.94334079700002 -32.72395479199997, 137.94142530600004 -32.71745150099997, 137.941163307 -32.71650417999996, 137.94105710600002 -32.716012519999936, 137.94097530800002 -32.7154981799999, 137.940919408 -32.71493996099997, 137.94089870900007 -32.71440778999994, 137.9409039080001 -32.71396669999996, 137.94093380900006 -32.71348687899996, 137.9410524100001 -32.71261871899998, 137.94283101400003 -32.703788850999956, 137.9429406160001 -32.70314850099993, 137.94300571600002 -32.70256687099993, 137.9430329160001 -32.70195854999997, 137.94302271800007 -32.70129615199994, 137.94273632500006 -32.69533017999993, 137.94265572300003 -32.694449609999936, 137.94249992400012 -32.693608188999974, 137.9422848260001 -32.692832848999956, 137.94177402800005 -32.69135922999993, 137.92582971900003 -32.64593163999996, 137.92041700800007 -32.630499173999965, 137.91989861600007 -32.62906801199995, 137.91967928100007 -32.628565772999934, 137.91959251000003 -32.628367082999944, 137.91927781100003 -32.627772652999965, 137.9189976030001 -32.62731762799996, 137.9189219120001 -32.62719471299994, 137.91847241200003 -32.62654545199996, 137.91714333000004 -32.62469012599996, 137.91184831900011 -32.61729768299995, 137.91104119800002 -32.616170721999936, 137.89381642900003 -32.59211233899998, 137.84734249000007 -32.52712493499996, 137.8465813910001 -32.52601819399996, 137.84137920400008 -32.51807586899997, 137.84099430600008 -32.51742823999996, 137.8408037150001 -32.517047296999976, 137.84066610700006 -32.516772249999974, 137.8404942950001 -32.516355732999955, 137.84041390700008 -32.51616084899996, 137.8401931090001 -32.51550735999996, 137.83633687600002 -32.50298340299997, 137.836309625 -32.50289488599998, 137.83616322500006 -32.50251377699993, 137.83599802600008 -32.502190206999956, 137.8358263020001 -32.50193321599994, 137.83556816400005 -32.50165020099996, 137.83529771500002 -32.50139544399997, 137.8350199890001 -32.501179124999965, 137.83480937500008 -32.50103308799993, 137.83455065200008 -32.50088333399998, 137.8343669090001 -32.50078454599998, 137.83408064200012 -32.500656936999974, 137.8337267400001 -32.500533220999955, 137.83341626700008 -32.500444426999934, 137.83317757700001 -32.50039317499994, 137.83288685900004 -32.50031683999998, 137.83259212100006 -32.500280326999984, 137.83224704600002 -32.50025928699995, 137.83191179300002 -32.50027298499998, 137.83152070200003 -32.500292685999966, 137.83076268600007 -32.50033312099998))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONAMIA - PORT AUGUSTA,STANDARD,AUSTRALIAN RAIL TRACK CORPORATION,AUSTRALIAN RAIL TRACK CORPORATION LTD.,RWN08,0.036306894,"MULTILINESTRING ((137.83076268600007 -32.50033312099998, 137.79452595200007 -32.50258914799997))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERTON - DRY CREEK01,BROAD,KEOLIS DOWNER PTY LTD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,,0.011576699,"MULTILINESTRING ((138.52640706400007 -34.85132778099995, 138.5266020140001 -34.85085146399996, 138.52670336200003 -34.85045687899998, 138.52739280800006 -34.84713996199997, 138.5275339650001 -34.84657941299997, 138.5277584580001 -34.84604309599996, 138.52787802900002 -34.84581565099995, 138.5280662130001 -34.84552199199993, 138.52825912100002 -34.84526448699995, 138.52866552500006 -34.84482652099996, 138.52884679400006 -34.84467244799998, 138.5290658250001 -34.84450111299998, 138.52932869900008 -34.84432616099997, 138.52973197300003 -34.84409546699993, 138.53009258400004 -34.84393151299997, 138.5303615690001 -34.84383781699995, 138.53199333100008 -34.843352607999975, 138.53284665 -34.84305810799998))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERTON - DRY CREEK01,BROAD,KEOLIS DOWNER PTY LTD,MINISTER FOR INFRASTRUCTURE AND TRANSPORT,,6.15E-05,"MULTILINESTRING ((138.5263786590001 -34.85138230899997, 138.52639599600002 -34.85135209699996, 138.52640706400007 -34.85132778099995))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
